iter	Passed	Remaining
0	24	48588
1	48	48082
2	71	47796
3	103	51647
4	127	50693
5	150	50057
6	181	51791
7	205	51267
8	229	50725
9	261	52044
10	283	51308
11	305	50621
12	338	51760
13	360	51139
14	383	50706
15	415	51496
16	439	51249
17	463	51007
18	493	51476
19	517	51184
20	539	50880
21	570	51277
22	592	50944
23	614	50562
24	646	51090
25	669	50800
26	691	50494
27	724	51039
28	729	49557
29	751	49356
30	783	49775
31	806	49604
32	829	49415
33	861	49827
34	886	49764
35	910	49680
36	943	50049
37	966	49902
38	988	49721
39	1021	50074
40	1044	49895
41	1067	49788
42	1101	50152
43	1124	49972
44	1148	49886
45	1185	50370
46	1210	50293
47	1236	50284
48	1286	51220
49	1323	51619
50	1348	51550
51	1385	51889
52	1408	51752
53	1432	51617
54	1464	51788
55	1486	51607
56	1510	51479
57	1543	51665
58	1566	51546
59	1589	51402
60	1621	51545
61	1644	51395
62	1668	51290
63	1699	51420
64	1722	51291
65	1745	51147
66	1779	51339
67	1802	51202
68	1825	51091
69	1858	51247
70	1883	51183
71	1907	51068
72	1939	51199
73	1961	51042
74	1984	50924
75	2017	51082
76	2039	50937
77	2060	50781
78	2093	50916
79	2116	50795
80	2138	50660
81	2172	50809
82	2195	50700
83	2199	50177
84	2232	50297
85	2255	50192
86	2277	50086
87	2312	50236
88	2332	50093
89	2356	49999
90	2387	50094
91	2410	49989
92	2433	49903
93	2463	49961
94	2485	49844
95	2507	49741
96	2541	49867
97	2564	49768
98	2587	49683
99	2617	49736
100	2638	49616
101	2661	49523
102	2693	49610
103	2715	49508
104	2737	49410
105	2772	49534
106	2794	49443
107	2816	49348
108	2851	49469
109	2873	49368
110	2896	49293
111	2929	49382
112	2951	49291
113	2975	49223
114	3008	49310
115	3034	49280
116	3056	49198
117	3091	49306
118	3113	49218
119	3135	49121
120	3168	49210
121	3191	49133
122	3214	49048
123	3248	49153
124	3271	49071
125	3293	48990
126	3327	49070
127	3349	48980
128	3372	48911
129	3405	48992
130	3428	48914
131	3451	48839
132	3481	48878
133	3506	48827
134	3528	48748
135	3561	48813
136	3588	48798
137	3616	48795
138	3650	48875
139	3674	48818
140	3697	48748
141	3729	48797
142	3750	48706
143	3772	48619
144	3803	48656
145	3824	48571
146	3846	48490
147	3878	48532
148	3900	48458
149	3923	48389
150	3956	48445
151	3980	48390
152	4001	48305
153	4037	48400
154	4059	48322
155	4081	48249
156	4116	48318
157	4139	48262
158	4166	48241
159	4199	48291
160	4224	48253
161	4247	48185
162	4279	48232
163	4302	48167
164	4324	48098
165	4359	48163
166	4381	48096
167	4404	48029
168	4437	48075
169	4459	48003
170	4481	47932
171	4515	47989
172	4538	47934
173	4563	47890
174	4594	47912
175	4617	47856
176	4640	47790
177	4674	47844
178	4697	47784
179	4719	47720
180	4753	47773
181	4775	47702
182	4797	47634
183	4831	47687
184	4855	47632
185	4876	47560
186	4910	47607
187	4934	47556
188	4957	47505
189	4992	47556
190	5017	47519
191	5040	47467
192	5071	47486
193	5094	47425
194	5116	47358
195	5148	47386
196	5170	47321
197	5193	47262
198	5222	47268
199	5244	47203
200	5268	47151
