name,record,height,weight,reach,stance,dob
Tom Aaron,5-3-0,--,155 lbs.,--,,"Jul 13, 1978"
Danny Abbadi,4-6-0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
Nariman Abbasov,28-4-0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
David Abbott,10-15-0,"6' 0""",265 lbs.,--,Switch,--
Hamdy Abdelwahab,5-0-0 (1 NC),"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
Shamil Abdurakhimov,20-8-0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
Hiroyuki Abe,8-15-3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,--
Daichi Abe,6-2-0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
Papy Abedi,10-4-0,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978"
Ricardo Abreu,5-1-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984"
Klidson Abreu,15-4-0 (1 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992"
Cyborg Abreu,0-0-0,--,--,--,,"Dec 20, 1980"
Daniel Acacio,30-18-0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
John Adajar,6-2-0,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991"
Scott Adams,8-1-0,"6' 0""",225 lbs.,--,Southpaw,--
Juan Adams,5-3-0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
Anthony Adams,8-2-0,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988"
Zarrukh Adashev,4-4-0,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992"
Israel Adesanya,24-3-0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
Sam Adkins,7-20-2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965"
Nick Agallar,24-6-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979"
Mariya Agapova,10-4-0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997"
Marcelo Aguiar,2-3-1,"5' 10""",170 lbs.,--,Orthodox,--
Fabio Aguiar,17-1-0,"6' 0""",185 lbs.,--,,"Feb 10, 1988"
Edwin Aguilar,26-19-0 (1 NC),"5' 10""",185 lbs.,--,,--
Jessica Aguilar,20-8-0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
Kevin Aguilar,17-5-0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988"
Jesus Aguilar,9-2-0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996"
Christian Aguilera,14-8-0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991"
Nick Aguirre,7-2-0,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996"
Mike Aina,14-6-1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--
Ashiek Ajim,6-2-0,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994"
Hitomi Akano,18-10-0,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974"
Omari Akhmedov,21-6-1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
Yoshihiro Akiyama,14-6-0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975"
Rostem Akman,6-2-0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
Razak Al-Hassan,13-5-0,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982"
Abdul-Kareem Al-Selwady,15-3-0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995"
Mostapha Al-Turk,6-6-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973"
Herdem Alacabek,5-1-0,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991"
Javi Alanis,0-4-0,"5' 6""",135 lbs.,--,,--
Alatengheili,16-9-2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991"
Amir Albazi,17-1-0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993"
Brett Albee,3-2-0,--,225 lbs.,--,,--
John Albert,6-5-0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986"
Junior Albini,14-6-0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
Wes Albritton,0-1-0,"5' 10""",188 lbs.,--,Orthodox,--
Aleksandra Albu,3-2-0,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
Israel Albuquerque,0-3-0,--,185 lbs.,--,Orthodox,--
Juan Alcain,1-2-0,--,--,--,,--
Iuri Alcantara,35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980"
Ildemar Alcantara,21-11-0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982"
Alfonso Alcarez,1-3-1,"5' 3""",145 lbs.,--,,"Jun 10, 1970"
Gilbert Aldana,6-2-0,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977"
Irene Aldana,15-7-0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988"
Hector Aldana,4-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988"
Jose Alday,14-6-1,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991"
Jose Aldo,31-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986"
JJ Aldrich,13-6-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992"
Irina Alekseeva,5-2-0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990"
Talita Alencar,5-0-1,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990"
Jim Alers,13-3-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986"
John Alessio,35-17-0 (2 NC),"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979"
Houston Alexander,17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972"
Kenneth Alexander,7-6-0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977"
Lucas Alexander,8-4-0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995"
Marcio Alexandre Junior,17-4-0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989"
Olaf Alfonso,8-12-0,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974"
Pablo Alfonso,9-7-0,"5' 8""",145 lbs.,--,,"May 09, 1983"
Levi Alford,1-7-0,--,--,--,,--
Bill Algeo,18-7-0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
Royce Alger,3-2-0,"5' 10""",199 lbs.,--,Orthodox,--
Amir Aliakbari,10-1-0,"6' 3""",250 lbs.,--,,"Jun 10, 1984"
Sultan Aliev,15-3-0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984"
Nurullo Aliev,9-0-0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000"
Ikram Aliskerov,15-1-0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992"
Leon Aliu,10-2-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989"
John Allan,13-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993"
George Allen,13-19-2,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967"
Arnold Allen,19-3-0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994"
Brendan Allen,23-5-0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995"
Daniel Allen,5-0-0,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992"
Ben Alloway,18-8-0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981"
Assu Almabayev,18-2-0,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994"
Ricardo Almeida,13-5-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976"
Magno Almeida,10-3-0 (1 NC),"6' 0""",155 lbs.,--,,"Jun 06, 1985"
Thomas Almeida,22-5-0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991"
Ericka Almeida,7-3-0,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989"
Estefani Almeida,7-3-0,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988"
Jailton Almeida,20-2-0,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991"
Lucas Almeida,14-3-0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991"
Cesar Almeida,4-0-0,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988"
Mauricio Alonso,13-7-0 (1 NC),"6' 2""",170 lbs.,--,,"Feb 27, 1980"
Sarah Alpar,9-6-0,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991"
Ali AlQaisi,8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990"
Rico Altamirano,4-3-0,"5' 10""",170 lbs.,--,,--
Victor Altamirano,12-3-0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991"
Mike Altman,1-4-0,"5' 10""",185 lbs.,--,Orthodox,--
Patricia Alujas,9-3-0,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996"
Sean Alvarez,4-3-0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971"
Eddie Alvarez,29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984"
Jaime Alvarez,6-1-0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988"
Joel Alvarez,20-3-0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993"
Thiago Alves,23-15-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983"
Anthony Alves,1-4-0,--,--,--,,--
Amilcar Alves,15-12-0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988"
Warlley Alves,15-7-0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991"
Rafael Alves,20-12-0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990"
Sam Alvey,33-18-1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986"
Andre Amado,6-4-1,"6' 0""",154 lbs.,--,Orthodox,--
Adlan Amagov,14-2-1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
Maiara Amanajas dos Santos,7-3-0,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987"
Rayanne Amanda,14-7-0,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995"
Chris Amarante,2-0-0,--,185 lbs.,--,,--
Jimmy Ambriz,17-21-1,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970"
JJ Ambrose,28-7-0 (2 NC),"5' 10""",170 lbs.,--,Orthodox,--
Alen Amedovski,8-4-0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
Hyder Amil,8-0-0,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990"
Makwan Amirkhani,17-9-0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988"
Jaqueline Amorim,7-1-0,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995"
Bertrand Amoussou,1-1-0,"5' 8""",190 lbs.,--,Orthodox,--
Karl Amoussou,27-7-2,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985"
Eryk Anders,15-8-0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987"
Matt Andersen,14-8-1,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971"
Andy Anderson,0-1-0,"5' 6""",240 lbs.,--,,"Jul 16, 1974"
Lowell Anderson,0-1-0,"5' 6""",160 lbs.,--,Orthodox,--
Corey Anderson,14-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989"
Derek Anderson,14-3-0 (1 NC),"6' 0""",155 lbs.,--,,"Feb 02, 1990"
Megan Anderson,11-5-0,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990"
Tatsuya Ando,13-3-1,--,135 lbs.,--,,"Apr 26, 1990"
Alex Andrade,10-5-0,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974"
Jessica Andrade,25-12-0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991"
Viscardi Andrade,19-6-0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984"
Jermaine Andre,14-4-0,"5' 7""",200 lbs.,--,Orthodox,--
Juan Andres Luna,12-1-0,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995"
Fellipe Andrew,0-0-0,--,--,--,,"Oct 24, 1994"
Dylan Andrews,18-7-0 (1 NC),"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979"
Reese Andy,7-3-0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973"
Angga,13-3-0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989"
Julius Anglickas,5-1-0,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991"
Collin Anglin,8-3-0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993"
Chad Anheliger,12-7-0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986"
Yoji Anjo,0-5-1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967"
Magomed Ankalaev,19-1-1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992"
Gadzhimurad Antigulov,20-8-0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987"
Adam Antolin,12-3-0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
Angelo Antonio,1-4-0,--,205 lbs.,--,Orthodox,--
