event,date,favourite,favourite_odds,underdog,underdog_odds,result
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Jon Jones,1.13,Chael Sonnen,9.0,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Michael Bisping,1.57,Alan Belcher,4.5,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Roy Nelson,1.43,Cheick Kongo,3.2,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Phil Davis,1.36,Vinny Magalhaes,3.55,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Jim Miller,1.4,Pat Healy,3.4,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Rustam Khabilov,1.54,Yancy Medeiros,3.4,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Ovince St Preux,1.69,Gian Villante,2.4,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Sara McMann,1.18,Sheila Gaff,5.8,Favourite
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Johnny Bedford,1.91,Bryan Caraway,2.15,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Leonard Garcia,1.53,Cody McKenzie,2.93,Underdog
UFC 159 - Jones vs. Sonnen,27th Apr 2013,Steven Siler,1.95,Kurt Holobaugh,2.06,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Vitor Belfort,1.95,Luke Rockhold,2.04,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Ronaldo Souza,1.17,Chris Camozzi,6.0,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Rafael dos Anjos,1.5,Evan Dunham,2.91,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Rafael Natal,1.36,Joao Zeferino,3.7,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Nik Lentz,1.99,Hacran Dias,2.1,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Francisco Trinaldo,1.33,Mike Rio,3.9,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Gleison Tibau,1.42,John Cholish,3.35,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Paulo Thiago,1.57,Michel Prazeres,2.76,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Yuri Alcantara,1.2,Iliarde Santos,5.5,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Fabio Maldonado,1.38,Roger Hollett,3.45,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Azamat Gashimov,1.87,John Lineker,2.1,Underdog
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Jussier Formiga,1.65,Chris Cariaso,2.55,Favourite
UFC on FX 8 - Belfort vs. Rockhold,18th May 2013,Lucas Martins,1.33,Jeremy Larsen,3.85,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Cain Velasquez,1.16,Antonio Silva,6.75,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Junior dos Santos,1.25,Mark Hunt,5.25,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Glover Teixeira,1.33,James Te Huna,4.75,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Gray Maynard,1.74,T.J. Grant,2.65,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Donald Cerrone,1.37,K.J. Noons,3.48,Favourite
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Rick Story,1.67,Mike Pyle,2.5,Underdog
UFC 160 - Velasquez vs. Bigfoot 2,25th May 2013,Dennis Bermudez,1.4,Max Holloway,3.65,Favourite
